driver_id,trip_number,start_node,goal_node,route_taken,total_trip_time,total_distance,average_speed,average_stress
Base_8,4,E,A,EF->FH->HB->BA,66.0,615.76,35.76,0.2579
Base_37,5,E,D,EI->IJ->JD,52.0,496.51,36.15,0.2577
Base_48,5,I,F,IE->EF,28.0,316.23,43.57,0.0964
Base_52,4,D,G,DA->AB->BG,58.0,466.23,29.31,0.3962
Base_31,5,A,J,AD->DJ,37.0,330.28,44.32,0.0897
Base_43,3,D,F,DJ->JC->CH->HF,72.0,600.19,33.66,0.3146
Base_72,4,J,E,JI->IE,24.0,316.23,50.0,0.0
Base_11,3,G,A,GB->BA,34.0,316.23,40.29,0.1829
Base_53,3,C,H,CH,9.0,111.8,50.0,0.0
Base_54,5,E,G,EF->FG,26.0,299.54,42.31,0.1154
Base_34,5,B,F,BG->GF,34.0,299.54,33.09,0.3341
Base_50,4,I,G,IH->HB->BG,100.0,457.65,30.32,0.379
Base_77,5,B,D,BA->AD,31.0,308.11,36.13,0.2665
Base_20,6,H,C,HC,9.0,111.8,50.0,0.0
Base_26,5,E,I,EI,19.0,158.11,30.26,0.3842
Base_55,6,G,A,GB->BA,29.0,316.23,44.48,0.0862
Base_41,5,B,J,BC->CJ,38.0,300.0,36.71,0.2511
Base_67,4,D,B,DA->AB,44.0,308.11,36.7,0.25
Base_28,8,E,J,EI->IJ,27.0,316.23,43.33,0.1096
Base_78,2,D,E,DJ->JI->IE,96.0,496.51,38.06,0.2339
Base_22,6,D,I,DJ->JI,39.0,338.39,39.38,0.1875
Base_6,8,J,B,JC->CB,23.0,300.0,48.7,0.0157
Base_8,5,A,D,AD,11.0,150.0,50.0,0.0
Base_57,5,H,E,HF->FE,38.0,316.23,31.05,0.3626
Base_44,6,G,H,GB->BH,27.0,299.54,40.37,0.1474
Base_58,8,F,H,FH,15.0,158.11,38.33,0.1853
Base_14,8,J,C,JC,16.0,150.0,35.0,0.265
Base_30,6,C,G,CB->BG,39.0,308.11,35.13,0.2841
